,Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,cluster_label
31,RG6 4BS,Yes,51.426628,-0.918704,475274,170290,SU752702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,24.0,9.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,42,,E01016648,,E02003449,Lower Earley South,E04001230,E00084033,E14001048,30044,1,0,2021-11-12,Earley,1.60887,RG,RG6,Thames Valley,Thames Water,9C3XC3GJ+MG,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
32,RG6 4BT,Yes,51.426606,-0.920229,475168,170286,SU751702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,39.0,16.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,44,,E01016648,,E02003449,Lower Earley South,E04001230,E00084033,E14001048,30044,1,0,2021-11-12,Earley,1.61801,RG,RG6,Thames Valley,Thames Water,9C3XC3GH+JW,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
33,RG6 4BU,Yes,51.426013,-0.92125,475098,170219,SU750702,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,86.0,32.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,44,,E01016648,,E02003449,Lower Earley South,E04001230,E00084016,E14001048,30044,1,0,2021-11-12,Earley,1.6916,RG,RG6,Thames Valley,Thames Water,9C3XC3GH+CG,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
34,RG6 4BW,Yes,51.425615,-0.916081,475458,170180,SU754701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,28.0,19.0,Reading,Reading,Wokingham 011C,Urban city and town,South East,41,,E01016646,,E02003449,Lower Earley South,E04001230,E00084037,E14001048,30028,1,0,2021-11-12,Earley,1.72573,RG,RG6,Thames Valley,Thames Water,9C3XC3GM+6H,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
35,RG6 4BX,Yes,51.426763,-0.920714,475134,170303,SU751703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,152.0,73.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,45,,E01016648,,E02003449,Lower Earley South,E04001230,E00084033,E14001048,30044,1,0,2021-11-12,Earley,1.60425,RG,RG6,Thames Valley,Thames Water,9C3XC3GH+PP,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
36,RG6 4BY,Yes,51.428306,-0.922275,475023,170473,SU750704,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,114.0,69.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,52,,E01016648,,E02003449,Lower Earley South,E04001230,E00084031,E14001048,30044,1,0,2021-11-12,Earley,1.45233,RG,RG6,Thames Valley,Thames Water,9C3XC3HH+83,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
37,RG6 4BZ,Yes,51.427504,-0.921114,475105,170385,SU751703,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1985-04-01,,Earley,,130.0,73.0,Reading,Reading,Wokingham 011D,Urban city and town,South East,47,,E01016648,,E02003449,Lower Earley South,E04001230,E00084032,E14001048,30044,1,0,2021-11-12,Earley,1.5262,RG,RG6,Thames Valley,Thames Water,9C3XC3HH+2H,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,0
38,RG6 4DA,Yes,51.424953,-0.928265,474612,170094,SU746700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-03-01,,Earley,,142.0,70.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,50,,E01016649,,E02003449,Lower Earley South,E04001230,E00084035,E14001048,31414,1,0,2021-11-12,Earley,1.93031,RG,RG6,Thames Valley,Thames Water,9C3XC3FC+XM,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
39,RG6 4DB,Yes,51.425119,-0.927729,474649,170113,SU746701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-03-01,,Earley,,43.0,21.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,50,,E01016649,,E02003449,Lower Earley South,E04001230,E00084035,E14001048,31414,1,0,2021-11-12,Earley,1.89967,RG,RG6,Thames Valley,Thames Water,9C3XC3GC+2W,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
40,RG6 4DD,Yes,51.425348,-0.929176,474548,170137,SU745701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-03-01,,Earley,,18.0,10.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,54,,E01016649,,E02003449,Lower Earley South,E04001230,E00084035,E14001048,31414,1,0,2021-11-12,Earley,1.91425,RG,RG6,Thames Valley,Thames Water,9C3XC3GC+48,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
41,RG6 4DE,Yes,51.425063,-0.929413,474532,170105,SU745701,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-07-01,,Earley,,24.0,15.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,54,,E01016649,,E02003449,Lower Earley South,E04001230,E00084035,E14001048,31414,1,0,2021-11-12,Earley,1.94986,RG,RG6,Thames Valley,Thames Water,9C3XC3GC+26,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
42,RG6 4DF,Yes,51.42466,-0.929581,474521,170060,SU745700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-07-01,,Earley,,42.0,28.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,54,,E01016649,,E02003449,Lower Earley South,E04001230,E00084040,E14001048,31414,1,0,2021-11-12,Earley,1.99552,RG,RG6,Thames Valley,Thames Water,9C3XC3FC+V5,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
43,RG6 4DG,Yes,51.423755,-0.927962,474635,169961,SU746699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-07-01,,Earley,,39.0,17.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,48,,E01016649,,E02003449,Lower Earley South,E04001230,E00084041,E14001048,31414,1,0,2021-11-12,Earley,2.04746,RG,RG6,Thames Valley,Thames Water,9C3XC3FC+GR,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
44,RG6 4DH,Yes,51.422196,-0.923727,474932,169792,SU749697,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,2011-06-01,,Earley,,,,Reading,Reading,Wokingham 011C,Urban city and town,South East,43,,E01016646,,E02003449,Lower Earley South,E04001230,E00084014,E14001048,30028,1,0,2021-11-12,Earley,2.13788,RG,RG6,Thames Valley,Thames Water,9C3XC3CG+VG,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
45,RG6 4DJ,Yes,51.423899,-0.926032,474769,169979,SU747699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,17.0,10.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,46,,E01016649,,E02003449,Lower Earley South,E04001230,E00084034,E14001048,31414,1,0,2021-11-12,Earley,1.99092,RG,RG6,Thames Valley,Thames Water,9C3XC3FF+HH,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
46,RG6 4DL,Yes,51.423522,-0.927105,474695,169936,SU746699,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1984-02-01,,Earley,,57.0,31.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,47,,E01016649,,E02003449,Lower Earley South,E04001230,E00084041,E14001048,31414,1,0,2021-11-12,Earley,2.05281,RG,RG6,Thames Valley,Thames Water,9C3XC3FF+C5,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
47,RG6 4DP,Yes,51.421423,-0.932633,474314,169697,SU743696,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1986-04-01,,Earley,,98.0,30.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,53,,E01016649,,E02003449,Lower Earley South,E04001230,E00084019,E14001048,31414,1,0,2021-11-12,Earley,2.4104,RG,RG6,Thames Valley,Thames Water,9C3XC3C8+HW,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
48,RG6 4DQ,Yes,51.424651,-0.927711,474651,170061,SU746700,Berkshire,Wokingham,Hawkedon,E06000041,E05002381,England,E11000002,Wokingham,1983-07-01,,Earley,,28.0,13.0,Reading,Reading,Wokingham 011E,Urban city and town,South East,48,,E01016649,,E02003449,Lower Earley South,E04001230,E00084035,E14001048,31414,1,0,2021-11-12,Earley,1.94794,RG,RG6,Thames Valley,Thames Water,9C3XC3FC+VW,75300,,Reading,"Berkshire, Buckinghamshire and Oxfordshire",Berkshire,1
